FFFFFFFFFFFFFFFFD9A9BEAEE8EDA8BDA989D9F8
2
(-1, -1) (-1, -1) 123 109 93 122 93 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(1, 6) (1, 4) 123 61 93 122 93 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(1, 5) (1, 1) 123 31 93 122 93 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(2, 6) (2, 1) 123 31 31 122 93 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(3, 6) (3, 0) 123 31 31 59 93 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(4, 6) (4, 1) 123 31 31 59 31 111 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(5, 6) (5, 4) 123 31 31 59 31 63 122 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(6, 6) (6, 0) 123 31 31 59 31 63 59 109 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(7, 6) (7, 4) 123 31 31 59 31 63 59 61 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(7, 5) (7, 1) 123 31 31 59 31 63 59 31 127 27 36 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(10, 5) (10, 4) 123 31 31 59 31 63 59 31 127 27 20 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(10, 2) (10, 3) 123 31 31 59 31 63 59 31 127 27 24 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(8, 6) (10, 1) 123 31 31 59 31 63 59 31 63 27 26 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(8, 5) (10, 0) 123 31 31 59 31 63 59 31 31 27 27 36 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(11, 5) (11, 4) 123 31 31 59 31 63 59 31 31 27 27 20 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(11, 2) (11, 3) 123 31 31 59 31 63 59 31 31 27 27 24 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(8, 2) (11, 1) 123 31 31 59 31 63 59 31 27 27 27 26 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(7, 2) (11, 0) 123 31 31 59 31 63 59 27 27 27 27 27 127 46 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(13, 5) (13, 4) 123 31 31 59 31 63 59 27 27 27 27 27 127 30 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(13, 2) (13, 0) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 111 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(14, 6) (14, 4) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 63 119 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(15, 6) (15, 3) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 63 63 36 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(15, 5) (16, 6) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 63 31 100 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(15, 2) (16, 4) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 63 27 116 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(14, 5) (16, 3) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 31 27 124 107 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
(14, 2) (17, 2) 123 31 31 59 31 63 59 27 27 27 27 27 127 27 27 27 124 111 63 109 122 83 63 91 91 93 83 124 63 119 122 124 46 111 123 111 36 111 27 127
